(Train)    Epoch: 1, nDCG@K: 0.8185, HR@K: 0.9915, Loss: 0.1545
(Train)    Epoch: 2, nDCG@K: 0.8510, HR@K: 0.9940, Loss: 0.1363
(Train)    Epoch: 3, nDCG@K: 0.8606, HR@K: 0.9952, Loss: 0.1141
(Train)    Epoch: 4, nDCG@K: 0.8742, HR@K: 0.9955, Loss: 0.1136
(Train)    Epoch: 5, nDCG@K: 0.8812, HR@K: 0.9958, Loss: 0.1100
(Train)    Epoch: 6, nDCG@K: 0.8850, HR@K: 0.9961, Loss: 0.1063
(Train)    Epoch: 7, nDCG@K: 0.8903, HR@K: 0.9961, Loss: 0.1024
(Train)    Epoch: 8, nDCG@K: 0.8944, HR@K: 0.9962, Loss: 0.0895
(Train)    Epoch: 9, nDCG@K: 0.8959, HR@K: 0.9963, Loss: 0.1001
(Train)    Epoch: 10, nDCG@K: 0.8980, HR@K: 0.9963, Loss: 0.0851
(Train)    Epoch: 11, nDCG@K: 0.9010, HR@K: 0.9965, Loss: 0.0856
(Train)    Epoch: 12, nDCG@K: 0.9030, HR@K: 0.9965, Loss: 0.0883
(Train)    Epoch: 13, nDCG@K: 0.9061, HR@K: 0.9965, Loss: 0.0859
(Train)    Epoch: 14, nDCG@K: 0.9069, HR@K: 0.9966, Loss: 0.0879
(Train)    Epoch: 15, nDCG@K: 0.9071, HR@K: 0.9966, Loss: 0.0756
(Train)    Epoch: 16, nDCG@K: 0.9084, HR@K: 0.9968, Loss: 0.0758
(Train)    Epoch: 17, nDCG@K: 0.9098, HR@K: 0.9967, Loss: 0.0678
(Train)    Epoch: 18, nDCG@K: 0.9098, HR@K: 0.9967, Loss: 0.0827
(Train)    Epoch: 19, nDCG@K: 0.9114, HR@K: 0.9969, Loss: 0.0758
(Train)    Epoch: 20, nDCG@K: 0.9106, HR@K: 0.9966, Loss: 0.0722
(Train)    Epoch: 21, nDCG@K: 0.9115, HR@K: 0.9969, Loss: 0.0687
(Train)    Epoch: 22, nDCG@K: 0.9118, HR@K: 0.9969, Loss: 0.0708
(Train)    Epoch: 23, nDCG@K: 0.9134, HR@K: 0.9969, Loss: 0.0866
(Train)    Epoch: 24, nDCG@K: 0.9133, HR@K: 0.9968, Loss: 0.0800
(Train)    Epoch: 25, nDCG@K: 0.9144, HR@K: 0.9968, Loss: 0.0643
(Train)    Epoch: 26, nDCG@K: 0.9137, HR@K: 0.9970, Loss: 0.0799
(Train)    Epoch: 27, nDCG@K: 0.9132, HR@K: 0.9969, Loss: 0.0698
(Train)    Epoch: 28, nDCG@K: 0.9138, HR@K: 0.9968, Loss: 0.0788
(Train)    Epoch: 29, nDCG@K: 0.9151, HR@K: 0.9969, Loss: 0.0727
(Train)    Epoch: 30, nDCG@K: 0.9146, HR@K: 0.9968, Loss: 0.0681
(Train)    Epoch: 31, nDCG@K: 0.9150, HR@K: 0.9969, Loss: 0.0695
(Train)    Epoch: 32, nDCG@K: 0.9144, HR@K: 0.9969, Loss: 0.0610
(Train)    Epoch: 33, nDCG@K: 0.9150, HR@K: 0.9970, Loss: 0.0630
(Train)    Epoch: 34, nDCG@K: 0.9154, HR@K: 0.9969, Loss: 0.0687
(Train)    Epoch: 35, nDCG@K: 0.9159, HR@K: 0.9969, Loss: 0.0652
(Train)    Epoch: 36, nDCG@K: 0.9160, HR@K: 0.9969, Loss: 0.0642
(Train)    Epoch: 37, nDCG@K: 0.9174, HR@K: 0.9969, Loss: 0.0713
(Train)    Epoch: 38, nDCG@K: 0.9165, HR@K: 0.9969, Loss: 0.0650
(Train)    Epoch: 39, nDCG@K: 0.9169, HR@K: 0.9969, Loss: 0.0583
(Train)    Epoch: 40, nDCG@K: 0.9175, HR@K: 0.9968, Loss: 0.0707
(Train)    Epoch: 41, nDCG@K: 0.9159, HR@K: 0.9968, Loss: 0.0682
(Train)    Epoch: 42, nDCG@K: 0.9179, HR@K: 0.9971, Loss: 0.0627
(Train)    Epoch: 43, nDCG@K: 0.9177, HR@K: 0.9970, Loss: 0.0689
(Train)    Epoch: 44, nDCG@K: 0.9169, HR@K: 0.9969, Loss: 0.0617
(Train)    Epoch: 45, nDCG@K: 0.9177, HR@K: 0.9969, Loss: 0.0583
(Train)    Epoch: 46, nDCG@K: 0.9175, HR@K: 0.9970, Loss: 0.0652
(Train)    Epoch: 47, nDCG@K: 0.9176, HR@K: 0.9970, Loss: 0.0626
(Train)    Epoch: 48, nDCG@K: 0.9180, HR@K: 0.9968, Loss: 0.0603
(Train)    Epoch: 49, nDCG@K: 0.9179, HR@K: 0.9971, Loss: 0.0624
(Train)    Epoch: 50, nDCG@K: 0.9182, HR@K: 0.9970, Loss: 0.0652
